Pos,Athlete,Country,Points,,100,LJ,SP,HJ,400,110H,DT,PV,JT,1500
1,Damian WARNER,CAN,9018,PointsMarkOverall,106610.12 (1)1066,11238.24 (1)2189,77714.80 (1)2966,8222.02 (1)3788,93447.48 (1)4722,104513.46 (1)5767,84348.67 (1)6610,8804.90 (1)7490,79063.44 (1)8280,7384:31.08 (1)9018
2,Kevin MAYER,FRA,8726,PointsMarkOverall,93310.68 (9)933,9357.50 (4)1868,79415.07 (4)2662,8782.08 (4)3540,80050.31 (5)4340,98713.90 (4)5327,83048.08 (4)6157,9725.20 (4)7129,93773.09 (2)8066,6604:43.17 (2)8726
3,Ashley MOLONEY,AUS,8649,PointsMarkOverall,101310.34 (2)1013,9707.64 (2)1983,75814.49 (3)2741,9062.11 (2)3647,99446.29 (2)4641,96414.08 (2)5605,75444.38 (2)6359,9105.00 (2)7269,69557.12 (3)7964,6854:39.19 (3)8649
4,Garrett SCANTLING,USA,8611,PointsMarkOverall,93510.67 (7)935,8867.30 (10)1821,82615.59 (5)2647,7941.99 (8)3441,89748.25 (6)4338,97114.03 (5)5309,77645.46 (5)6085,9415.10 (5)7026,87669.10 (4)7902,7094:35.54 (4)8611
5,Pierce LEPAGE,CAN,8604,PointsMarkOverall,99210.43 (3)992,9727.65 (3)1964,80915.31 (2)2773,7941.99 (3)3567,96246.92 (3)4529,92514.39 (3)5454,81147.14 (3)6265,9105.00 (3)7175,69657.24 (5)7871,7334:31.85 (5)8604
6,Zachery ZIEMEK,USA,8435,PointsMarkOverall,96310.55 (4)963,8627.20 (8)1825,78914.99 (8)2614,8502.05 (5)3464,85849.06 (7)4322,91014.51 (8)5232,76444.87 (9)5996,10045.30 (6)7000,74460.44 (7)7744,6914:38.38 (6)8435
7,Lindon VICTOR,GRN,8414,PointsMarkOverall,93510.67 (7)935,8717.24 (11)1806,81415.39 (6)2620,8222.02 (6)3442,85149.21 (9)4293,87014.83 (11)5163,86549.75 (6)6028,8804.90 (8)6908,91371.56 (6)7821,5934:54.32 (7)8414
8,Ilya SHKURENYOV,ANA,8413,PointsMarkOverall,87610.93 (14)876,9577.59 (7)1833,78714.95 (6)2620,7941.99 (10)3414,86248.98 (11)4276,92014.43 (9)5196,80947.02 (8)6005,9415.10 (7)6946,75260.95 (8)7698,7154:34.62 (8)8413
9,Jorge ﻿UREÑA,ESP,8322,PointsMarkOverall,93810.66 (6)938,8867.30 (9)1824,72713.97 (12)2551,8502.05 (11)3401,90948.00 (8)4310,95814.13 (7)5268,74043.70 (7)6008,8804.90 (9)6888,67555.82 (9)7563,7594:27.82 (9)8322
10,Steven BASTIEN,USA,8236,PointsMarkOverall,93110.69 (10)931,9087.39 (6)1839,75314.40 (10)2592,8502.05 (6)3442,92747.64 (4)4369,92114.42 (6)5290,68040.77 (11)5970,7904.60 (11)6760,71158.21 (11)7471,7654:26.95 (10)8236
11,Johannes ERM,EST,8213,PointsMarkOverall,85211.04 (15)852,9007.36 (15)1752,76514.60 (14)2517,7941.99 (16)3311,89748.25 (14)4208,90514.55 (14)5113,78245.72 (12)5895,8494.80 (13)6744,71458.41 (13)7458,7554:28.42 (11)8213
12,Paweł WIESIOŁEK,POL,8176,PointsMarkOverall,89910.83 (11)899,8787.27 (13)1777,78414.90 (11)2561,8222.02 (12)3383,89848.24 (10)4281,85614.95 (12)5137,83448.27 (10)5971,8494.80 (10)6820,61251.60 (14)7432,7444:30.02 (12)8176
13,Vitaliy ZHUK,BLR,8131,PointsMarkOverall,85211.04 (15)852,7976.93 (20)1649,86516.23 (15)2514,7671.96 (17)3281,85149.22 (16)4132,85614.95 (17)4988,80847.01 (16)5796,9415.10 (14)6737,73059.49 (12)7467,6644:42.57 (13)8131
14,Kai KAZMIREK,GER,8126,PointsMarkOverall,84111.09 (19)841,9307.48 (14)1771,75714.46 (13)2528,8222.02 (14)3350,90148.17 (13)4251,88214.73 (13)5133,72042.70 (13)5853,8494.80 (15)6702,79563.76 (10)7497,6294:48.30 (14)8126
15,Maicel UIBO,EST,8037,PointsMarkOverall,79111.32 (23)791,9037.37 (19)1694,72513.95 (20)2419,8222.02 (19)3241,77750.82 (18)4018,87014.83 (19)4888,79546.38 (19)5683,10675.50 (12)6750,59850.64 (17)7348,6894:38.64 (15)8037
16,Adam Sebastian HELCELET,CZE,8004,PointsMarkOverall,84711.06 (18)847,8527.16 (18)1699,78914.99 (16)2488,7671.96 (18)3255,84249.41 (17)4097,93014.35 (15)5027,77545.40 (15)5802,7904.60 (17)6592,76161.54 (16)7353,6514:44.74 (16)8004
17,Jiří SÝKORA,CZE,7943,PointsMarkOverall,82111.18 (20)821,8217.03 (21)1642,76714.63 (21)2409,7141.90 (22)3123,86648.89 (19)3989,91314.48 (18)4902,86849.90 (17)5770,7904.60 (18)6560,79463.73 (15)7354,5894:54.97 (17)7943
18,Felipe DOS SANTOS,BRA,7880,PointsMarkOverall,95610.58 (5)956,9057.38 (5)1861,73614.13 (9)2597,8222.02 (9)3419,84749.31 (12)4266,90114.58 (10)5167,66339.91 (14)5830,7904.60 (16)6620,65654.56 (18)7276,6044:52.40 (18)7880
19,Martin ROE,NOR,7863,PointsMarkOverall,89210.86 (12)892,8217.03 (16)1713,72713.98 (19)2440,7671.96 (20)3207,77250.93 (20)3979,79415.47 (20)4773,83648.37 (20)5609,8494.80 (19)6458,77262.28 (19)7230,6334:47.58 (19)7863
20,Karel TILGA,EST,7018,PointsMarkOverall,79311.31 (22)793,7606.77 (22)1553,80515.25 (22)2358,8222.02 (21)3180,79350.48 (21)3973,72216.10 (21)4695,69141.31 (21)5386,0NM 5386,94173.36 (21)6327,6914:38.24 (20)7018
21,Cedric DUBLER,AUS,7008,PointsMarkOverall,88510.89 (13)885,9007.36 (12)1785,68913.35 (17)2474,8502.05 (15)3324,86049.02 (15)4184,83715.10 (16)5021,73243.31 (18)5753,0NM 5753,71658.52 (20)6469,5395:03.69 (21)7008
,Niklas KAUL,GER,DNF,PointsMarkOverall,81211.22 (21)812,9007.36 (17)1712,76214.55 (17)2474,9062.11 (13)3380,0DNF 3380,0DNS DNF,0DNS DNF,0DNS DNF,,
,Thomas VAN DER PLAETSEN,BEL,DNF,PointsMarkOverall,85011.05 (17)850,0NM 850,0DNS DNF,0DNS DNF,0DNS DNF,,,,,
